split,virus_id,antiserum_id,virus_year,antiserum_year,observed,predicted
train,A/HongKong/1/1968,A/HongKong/1/1968,1968,1968,0.0,0.1
train,A/England/42/1972,A/HongKong/1/1968,1972,1968,2.0,2.2
train,A/PortChalmers/1/1973,A/England/42/1972,1973,1972,1.0,1.1
train,A/Victoria/3/1975,A/England/42/1972,1975,1972,3.0,2.8
train,A/Texas/1/1977,A/Victoria/3/1975,1977,1975,1.5,1.7
train,A/Bangkok/1/1979,A/Victoria/3/1975,1979,1975,2.5,2.3
test,A/Philippines/2/1982,A/Victoria/3/1975,1982,1975,3.5,3.2
test,A/Philippines/2/1982,A/Bangkok/1/1979,1982,1979,1.5,1.7
test,A/Mississippi/1/1985,A/Victoria/3/1975,1985,1975,4.5,4.1
test,A/Mississippi/1/1985,A/Bangkok/1/1979,1985,1979,3.0,3.2
test,A/Sichuan/2/1987,A/Bangkok/1/1979,1987,1979,4.0,3.8
test,A/Sichuan/2/1987,A/Victoria/3/1975,1987,1975,5.0,4.7
